funcid,dim,milestone,error
1,10,20,8.763724e+08
1,10,30,4.689190e+08
1,10,40,4.689190e+08
1,10,50,4.689190e+08
1,10,60,4.689190e+08
1,10,70,4.689190e+08
1,10,80,4.689190e+08
1,10,90,4.689190e+08
1,10,100,4.689190e+08
1,10,1,2.121333e+09
1,10,2,2.121333e+09
1,10,3,2.057599e+09
1,10,5,1.336320e+09
1,10,10,1.282555e+09
1,10,20,1.228756e+09
1,10,30,7.804576e+08
1,10,40,4.352808e+08
1,10,50,4.352808e+08
1,10,60,4.352808e+08
1,10,70,4.352808e+08
1,10,80,4.352808e+08
1,10,90,4.352808e+08
1,10,100,3.443103e+08
1,10,1,2.685597e+09
1,10,2,2.685597e+09
1,10,3,2.194407e+09
1,10,5,1.217815e+09
1,10,10,1.021489e+09
1,10,20,6.123815e+08
1,10,30,4.872036e+08
1,10,40,4.331007e+08
1,10,50,4.331007e+08
1,10,60,4.331007e+08
1,10,70,4.331007e+08
1,10,80,4.331007e+08
1,10,90,4.331007e+08
1,10,100,4.331007e+08
1,10,1,2.953846e+09
1,10,2,2.703996e+09
1,10,3,1.830761e+09
1,10,5,1.732826e+09
1,10,10,1.101069e+09
1,10,20,7.227603e+08
1,10,30,4.697325e+08
1,10,40,4.697325e+08
1,10,50,4.125999e+08
1,10,60,3.252918e+08
1,10,70,3.252918e+08
1,10,80,3.252918e+08
1,10,90,3.252918e+08
1,10,100,3.252918e+08
1,10,1,1.686895e+09
1,10,2,1.686895e+09
1,10,3,1.686895e+09
1,10,5,1.060063e+09
1,10,10,8.603393e+08
1,10,20,6.739289e+08
1,10,30,6.739289e+08
1,10,40,6.739289e+08
1,10,50,5.636934e+08
1,10,60,4.447559e+08
1,10,70,4.447559e+08
1,10,80,4.447559e+08
1,10,90,4.447559e+08
1,10,100,4.447559e+08
1,10,1,2.470206e+09
1,10,2,1.824335e+09
1,10,3,1.824335e+09
1,10,5,1.824335e+09
1,10,10,9.280188e+08
1,10,20,9.280188e+08
1,10,30,7.617708e+08
1,10,40,7.617708e+08
1,10,50,2.402831e+08
1,10,60,2.402831e+08
1,10,70,2.402831e+08
1,10,80,2.402831e+08
1,10,90,2.402831e+08
1,10,100,2.402831e+08
1,10,1,3.866530e+09
1,10,2,3.866530e+09
1,10,3,1.840203e+09
1,10,5,1.840203e+09
1,10,10,1.551015e+09
1,10,20,1.082092e+09
1,10,30,6.036974e+08
1,10,40,6.036974e+08
1,10,50,5.018930e+08
1,10,60,5.018930e+08
1,10,70,5.018930e+08
1,10,80,5.018930e+08
1,10,90,5.018930e+08
1,10,100,5.018930e+08
1,10,1,1.971498e+09
1,10,2,1.020763e+09
1,10,3,1.020763e+09
1,10,5,1.020763e+09
1,10,10,7.357684e+08
1,10,20,3.095932e+08
1,10,30,3.095932e+08
1,10,40,3.095932e+08
1,10,50,3.095932e+08
1,10,60,3.095932e+08
1,10,70,3.095932e+08
1,10,80,3.095932e+08
1,10,90,3.095932e+08
1,10,100,3.095932e+08
1,10,1,3.097961e+09
1,10,2,2.742013e+09
1,10,3,1.697918e+09
1,10,5,6.399958e+08
1,10,10,4.761263e+08
1,10,20,4.761263e+08
1,10,30,4.761263e+08
1,10,40,4.761263e+08
1,10,50,4.761263e+08
1,10,60,4.761263e+08
1,10,70,4.761263e+08
1,10,80,4.761263e+08
1,10,90,4.761263e+08
1,10,100,3.664321e+08
1,10,1,1.990818e+09
1,10,2,1.990818e+09
1,10,3,1.990818e+09
1,10,5,1.602064e+09
1,10,10,1.096117e+09
1,10,20,6.382643e+08
1,10,30,4.916504e+08
1,10,40,4.916504e+08
1,10,50,4.916504e+08
1,10,60,4.916504e+08
1,10,70,4.916504e+08
1,10,80,4.916504e+08
1,10,90,4.916504e+08
1,10,100,3.597009e+08
