funcid,dim,milestone,error
15,50,10,8.199214e+09
15,50,20,4.959619e+09
15,50,30,3.183266e+09
15,50,40,2.572629e+09
15,50,50,2.572629e+09
15,50,60,2.572629e+09
15,50,70,2.572629e+09
15,50,80,2.572629e+09
15,50,90,2.572629e+09
15,50,100,2.572629e+09
15,50,1,6.175946e+09
15,50,2,6.175946e+09
15,50,3,6.175946e+09
15,50,5,6.175946e+09
15,50,10,6.175946e+09
15,50,20,6.175946e+09
15,50,30,5.559889e+09
15,50,40,5.559889e+09
15,50,50,5.559889e+09
15,50,60,5.559889e+09
15,50,70,5.559889e+09
15,50,80,5.559889e+09
15,50,90,5.559889e+09
15,50,100,5.074983e+09
15,50,1,4.032777e+09
15,50,2,4.032777e+09
15,50,3,4.032777e+09
15,50,5,4.032777e+09
15,50,10,4.032777e+09
15,50,20,4.032777e+09
15,50,30,4.032777e+09
15,50,40,4.032777e+09
15,50,50,4.032777e+09
15,50,60,4.032777e+09
15,50,70,4.032777e+09
15,50,80,4.032777e+09
15,50,90,4.032777e+09
15,50,100,4.032777e+09
15,50,1,3.499455e+09
15,50,2,3.499455e+09
15,50,3,2.356365e+09
15,50,5,2.097087e+09
15,50,10,1.837701e+09
15,50,20,9.992533e+08
15,50,30,9.992533e+08
15,50,40,9.992533e+08
15,50,50,9.992533e+08
15,50,60,9.992533e+08
15,50,70,9.992533e+08
15,50,80,9.992533e+08
15,50,90,9.992533e+08
15,50,100,9.992533e+08
15,50,1,9.000417e+09
15,50,2,3.770366e+09
15,50,3,2.380968e+09
15,50,5,2.380968e+09
15,50,10,2.380968e+09
15,50,20,1.247277e+09
15,50,30,4.712108e+08
15,50,40,4.712108e+08
15,50,50,4.712108e+08
15,50,60,4.712108e+08
15,50,70,4.712108e+08
15,50,80,4.712108e+08
15,50,90,4.712108e+08
15,50,100,4.712108e+08
15,50,1,5.611359e+09
15,50,2,5.611359e+09
15,50,3,4.139965e+09
15,50,5,3.703654e+09
15,50,10,1.635451e+09
15,50,20,1.635451e+09
15,50,30,1.585513e+09
15,50,40,1.585513e+09
15,50,50,1.585513e+09
15,50,60,1.193320e+09
15,50,70,1.193320e+09
15,50,80,1.193320e+09
15,50,90,1.193320e+09
15,50,100,1.193320e+09
15,50,1,6.279651e+09
15,50,2,5.506436e+09
15,50,3,3.109176e+09
15,50,5,2.659452e+09
15,50,10,1.083090e+09
15,50,20,1.083090e+09
15,50,30,1.083090e+09
15,50,40,1.083090e+09
15,50,50,7.445126e+08
15,50,60,7.445126e+08
15,50,70,7.445126e+08
15,50,80,7.445126e+08
15,50,90,7.445126e+08
15,50,100,7.445126e+08
15,50,1,3.430456e+09
15,50,2,1.756339e+09
15,50,3,1.506341e+09
15,50,5,1.310986e+09
15,50,10,1.310986e+09
15,50,20,1.310986e+09
15,50,30,1.310986e+09
15,50,40,1.310986e+09
15,50,50,1.310986e+09
15,50,60,1.310986e+09
15,50,70,1.121716e+09
15,50,80,1.121716e+09
15,50,90,1.053156e+09
15,50,100,1.053156e+09
15,50,1,6.578820e+09
15,50,2,2.841599e+09
15,50,3,2.519272e+09
15,50,5,2.519272e+09
15,50,10,1.577164e+09
15,50,20,1.239598e+09
15,50,30,1.239598e+09
15,50,40,1.239598e+09
15,50,50,1.239598e+09
15,50,60,1.239598e+09
15,50,70,1.239598e+09
15,50,80,1.239598e+09
15,50,90,8.961599e+08
15,50,100,8.961599e+08
15,50,1,5.223354e+09
15,50,2,4.878389e+09
15,50,3,4.575666e+09
15,50,5,3.148120e+09
15,50,10,2.617571e+09
15,50,20,1.202337e+09
15,50,30,1.202337e+09
15,50,40,1.202337e+09
15,50,50,1.202337e+09
15,50,60,7.219874e+08
15,50,70,5.147147e+08
15,50,80,5.147147e+08
15,50,90,5.147147e+08
15,50,100,5.147147e+08
15,50,1,5.224187e+09
15,50,2,8.128629e+08
15,50,3,8.128629e+08
15,50,5,6.234103e+08
15,50,10,6.234103e+08
15,50,20,6.234103e+08
15,50,30,6.234103e+08
15,50,40,6.234103e+08
15,50,50,6.234103e+08
15,50,60,6.234103e+08
15,50,70,6.234103e+08
15,50,80,6.234103e+08
15,50,90,6.234103e+08
15,50,100,6.234103e+08
15,50,1,3.566470e+09
15,50,2,3.566470e+09
15,50,3,2.729305e+09
15,50,5,2.729305e+09
15,50,10,1.686722e+09
15,50,20,1.395505e+09
15,50,30,1.027864e+09
15,50,40,1.027864e+09
15,50,50,1.027864e+09
15,50,60,1.027864e+09
15,50,70,1.027864e+09
15,50,80,1.027864e+09
15,50,90,1.027864e+09
15,50,100,1.027864e+09
15,50,1,2.055695e+09
15,50,2,2.055695e+09
15,50,3,2.055695e+09
15,50,5,2.055695e+09
15,50,10,1.230087e+09
15,50,20,1.202783e+09
15,50,30,1.202783e+09
15,50,40,1.202783e+09
15,50,50,6.630346e+08
15,50,60,6.630346e+08
15,50,70,6.630346e+08
15,50,80,6.630346e+08
15,50,90,6.630346e+08
15,50,100,6.630346e+08
