funcid,dim,milestone,error
9,30,30,5.128847e+03
9,30,40,5.128847e+03
9,30,50,5.128847e+03
9,30,60,3.487719e+03
9,30,70,3.487719e+03
9,30,80,3.487719e+03
9,30,90,3.487719e+03
9,30,100,3.487719e+03
9,30,1,7.250851e+03
9,30,2,7.250851e+03
9,30,3,7.250851e+03
9,30,5,7.250851e+03
9,30,10,7.250851e+03
9,30,20,7.250851e+03
9,30,30,6.101483e+03
9,30,40,4.526308e+03
9,30,50,4.526308e+03
9,30,60,4.526308e+03
9,30,70,4.526308e+03
9,30,80,4.526308e+03
9,30,90,4.526308e+03
9,30,100,4.526308e+03
9,30,1,5.195289e+03
9,30,2,5.195289e+03
9,30,3,5.195289e+03
9,30,5,5.195289e+03
9,30,10,5.195289e+03
9,30,20,4.610576e+03
9,30,30,3.400594e+03
9,30,40,3.400594e+03
9,30,50,3.400594e+03
9,30,60,3.400594e+03
9,30,70,3.400594e+03
9,30,80,3.400594e+03
9,30,90,3.400594e+03
9,30,100,3.400594e+03
9,30,1,1.100687e+04
9,30,2,1.100687e+04
9,30,3,8.009667e+03
9,30,5,6.221758e+03
9,30,10,6.221758e+03
9,30,20,6.221758e+03
9,30,30,6.221758e+03
9,30,40,5.017031e+03
9,30,50,5.017031e+03
9,30,60,4.654514e+03
9,30,70,4.654514e+03
9,30,80,4.654514e+03
9,30,90,4.654514e+03
9,30,100,4.654514e+03
9,30,1,9.308231e+03
9,30,2,9.308231e+03
9,30,3,8.120291e+03
9,30,5,7.136208e+03
9,30,10,7.136208e+03
9,30,20,5.676673e+03
9,30,30,4.854398e+03
9,30,40,4.854398e+03
9,30,50,4.854398e+03
9,30,60,4.854398e+03
9,30,70,4.854398e+03
9,30,80,4.854398e+03
9,30,90,4.854398e+03
9,30,100,4.854398e+03
9,30,1,1.060640e+04
9,30,2,1.060640e+04
9,30,3,8.758809e+03
9,30,5,8.291430e+03
9,30,10,6.625639e+03
9,30,20,5.430691e+03
9,30,30,4.925422e+03
9,30,40,3.599540e+03
9,30,50,3.599540e+03
9,30,60,3.599540e+03
9,30,70,3.599540e+03
9,30,80,3.599540e+03
9,30,90,3.599540e+03
9,30,100,3.599540e+03
9,30,1,8.824182e+03
9,30,2,8.824182e+03
9,30,3,6.506625e+03
9,30,5,6.506625e+03
9,30,10,6.506625e+03
9,30,20,6.506625e+03
9,30,30,5.014923e+03
9,30,40,5.014923e+03
9,30,50,5.014923e+03
9,30,60,5.014923e+03
9,30,70,4.690791e+03
9,30,80,3.243378e+03
9,30,90,3.243378e+03
9,30,100,3.243378e+03
9,30,1,9.489460e+03
9,30,2,9.489460e+03
9,30,3,8.031109e+03
9,30,5,5.866449e+03
9,30,10,4.857150e+03
9,30,20,4.857150e+03
9,30,30,4.857150e+03
9,30,40,4.857150e+03
9,30,50,4.857150e+03
9,30,60,4.857150e+03
9,30,70,3.854101e+03
9,30,80,3.854101e+03
9,30,90,3.854101e+03
9,30,100,3.854101e+03
9,30,1,7.841839e+03
9,30,2,7.841839e+03
9,30,3,7.841839e+03
9,30,5,7.841839e+03
9,30,10,6.714388e+03
9,30,20,6.714388e+03
9,30,30,6.714388e+03
9,30,40,6.309523e+03
9,30,50,6.309523e+03
9,30,60,5.131590e+03
9,30,70,5.131590e+03
9,30,80,5.131590e+03
9,30,90,4.381342e+03
9,30,100,4.381342e+03
9,30,1,1.333656e+04
9,30,2,8.477428e+03
9,30,3,8.064503e+03
9,30,5,8.064503e+03
9,30,10,6.401975e+03
9,30,20,4.076470e+03
9,30,30,4.076470e+03
9,30,40,4.076470e+03
9,30,50,4.076470e+03
9,30,60,4.076470e+03
9,30,70,4.076470e+03
9,30,80,4.076470e+03
9,30,90,4.076470e+03
9,30,100,2.645403e+03
9,30,1,8.917460e+03
9,30,2,8.917460e+03
9,30,3,8.917460e+03
9,30,5,5.128847e+03
9,30,10,5.128847e+03
9,30,20,5.128847e+03
9,30,30,5.128847e+03
9,30,40,5.128847e+03
9,30,50,5.128847e+03
9,30,60,3.487719e+03
9,30,70,3.487719e+03
9,30,80,3.487719e+03
9,30,90,3.487719e+03
9,30,100,3.487719e+03
9,30,1,7.250851e+03
9,30,2,7.250851e+03
9,30,3,7.250851e+03
9,30,5,7.250851e+03
9,30,10,7.250851e+03
9,30,20,7.250851e+03
9,30,30,6.101483e+03
9,30,40,4.526308e+03
9,30,50,4.526308e+03
9,30,60,4.526308e+03
9,30,70,4.526308e+03
9,30,80,4.526308e+03
9,30,90,4.526308e+03
9,30,100,4.526308e+03
9,30,1,5.195289e+03
9,30,2,5.195289e+03
9,30,3,5.195289e+03
9,30,5,5.195289e+03
9,30,10,5.195289e+03
9,30,20,4.610576e+03
9,30,30,3.400594e+03
9,30,40,3.400594e+03
9,30,50,3.400594e+03
9,30,60,3.400594e+03
9,30,70,3.400594e+03
9,30,80,3.400594e+03
9,30,90,3.400594e+03
9,30,100,3.400594e+03
9,30,1,1.100687e+04
9,30,2,1.100687e+04
9,30,3,8.009667e+03
9,30,5,6.221758e+03
9,30,10,6.221758e+03
9,30,20,6.221758e+03
9,30,30,6.221758e+03
9,30,40,5.017031e+03
9,30,50,5.017031e+03
9,30,60,4.654514e+03
9,30,70,4.654514e+03
9,30,80,4.654514e+03
9,30,90,4.654514e+03
9,30,100,4.654514e+03
9,30,1,9.308231e+03
9,30,2,9.308231e+03
9,30,3,8.120291e+03
9,30,5,7.136208e+03
9,30,10,7.136208e+03
9,30,20,5.676673e+03
9,30,30,4.854398e+03
9,30,40,4.854398e+03
9,30,50,4.854398e+03
9,30,60,4.854398e+03
9,30,70,4.854398e+03
9,30,80,4.854398e+03
9,30,90,4.854398e+03
9,30,100,4.854398e+03
